Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2021-22,2022-05-01,West Ham,Arsenal,A,0.362492131501648,0.21445034692431642,4.57,H,0,0.14804178457733158,0.14804178457733158,0.2188183807439825,0.1436737507576655,0.6565890409625315,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-11,Leeds,Chelsea,A,0.3226180895485395,0.19700081660933905,4.95,H,0,0.12561727293920044,0.12561727293920044,0.20202020202020202,0.12059788752833747,0.5969595432652706,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-11,Watford,Everton,D,0.282742903074772,0.16225514055129847,6.01,H,0,0.12048776252347354,0.12048776252347354,0.1663893510815308,0.11635355199324121,0.6992848474793798,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-15,Everton,Brentford,A,0.4186329524356083,0.2259807769014012,4.32,A,1,0.19265217553420708,0.19265217553420708,0.23148148148148145,0.18715147095412682,0.8084943545218279,True,3.3200000000000003,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-19,Everton,Crystal Palace,H,0.4494333617137635,0.21040053053716892,4.64,A,0,0.2390328311765946,0.2390328311765946,0.21551724137931036,0.23391612033445316,1.0853707983518626,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-22,Arsenal,Everton,H,0.2577063007918652,0.11018363939899835,8.84,A,0,0.14752266139286685,0.14752266139286685,0.11312217194570136,0.14458412884616384,1.2781236990000884,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2022-23,2022-08-06,Everton,Chelsea,A,0.267368321836452,0.14138438880706924,6.89,H,0,0.12598393302938274,0.12598393302938274,0.14513788098693758,0.1222304408495144,0.842167737453154,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-06,Newcastle,Nott'm Forest,H,0.2732128103486811,0.14775844458222012,6.6,A,0,0.125454365766461,0.125454365766461,0.15151515151515152,0.12169765883352959,0.8032045483012953,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-13,Aston Villa,Everton,H,0.3760785580181453,0.19131247840315466,5.11,A,0,0.18476607961499067,0.18476607961499067,0.19569471624266144,0.1803838417754839,0.9217614314727227,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-13,Man City,Bournemouth,H,0.0772782383780834,0.02702702702702703,36.0,A,0,0.05025121135105637,0.05025121135105637,0.027777777777777776,0.04950046060030562,1.7820165816110025,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-14,Nott'm Forest,West Ham,H,0.3797054160366417,0.2427046428464901,4.03,H,1,0.1370007731901516,0.1370007731901516,0.24813895781637715,0.13156645822026455,0.5302128266276662,True,3.0300000000000002,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-20,Everton,Nott'm Forest,D,0.3882825537203596,0.21119559517566858,4.62,A,0,0.177086958544691,0.177086958544691,0.21645021645021645,0.17183233727014313,0.7938653981880612,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-20,Fulham,Brentford,H,0.567300678006601,0.35075528700906344,2.8,A,0,0.21654539099753756,0.21654539099753756,0.35714285714285715,0.21015782086374385,0.5884418984184827,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-21,Leeds,Chelsea,H,0.2476715058637641,0.15904764226525156,6.14,H,1,0.08862386359851254,0.08862386359851254,0.16286644951140067,0.08480505635236343,0.5207030460035116,True,5.14,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-27,Brighton,Leeds,H,0.3482158164844745,0.1921531631520533,5.09,A,0,0.15606265333242123,0.15606265333242123,0.19646365422396858,0.15175216226050595,0.7724185059059754,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-27,Liverpool,Bournemouth,H,0.0844541988413883,0.04983894582723279,19.5,A,0,0.03461525301415551,0.03461525301415551,0.05128205128205128,0.03317214755933702,0.6468568774070718,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-28,Nott'm Forest,Tottenham,A,0.2203127413333814,0.13693954836598252,7.1,H,0,0.0833731929673989,0.0833731929673989,0.14084507042253522,0.0794676709108462,0.564220463467008,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-31,Liverpool,Newcastle,H,0.1605155189063103,0.09157765457145484,10.61,A,0,0.06893786433485546,0.06893786433485546,0.09425070688030161,0.06626481202600869,0.7030696555959521,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-08-31,Man City,Nott'm Forest,H,0.0694564049149618,0.03743024363685858,26.0,A,0,0.03202616127810322,0.03202616127810322,0.038461538461538464,0.030994866453423336,0.8058665277890067,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-09-03,Chelsea,West Ham,H,0.2776735747064907,0.1795715509854327,5.44,A,0,0.09810202372105797,0.09810202372105797,0.1838235294117647,0.09385004529472599,0.5105442464033094,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-10-18,Brighton,Nott'm Forest,D,0.4554772298396654,0.11456355711943703,8.53,A,0,0.3409136727202283,0.3409136727202283,0.1172332942555686,0.33824393558409677,2.8852207705323454,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-10-24,West Ham,Bournemouth,H,0.2977425327671621,0.1592920353982301,6.12,A,0,0.13845049736893203,0.13845049736893203,0.16339869281045752,0.1343438399567046,0.8221843005350322,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-11-05,Leeds,Bournemouth,H,0.2803451179835351,0.17688122056425187,5.52,A,0,0.10346389741928325,0.10346389741928325,0.1811594202898551,0.09918569769368002,0.5475050512691138,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-11-06,Tottenham,Liverpool,A,0.4239181441126122,0.2721755958374148,3.59,H,0,0.1517425482751974,0.1517425482751974,0.2785515320334262,0.145366612079186,0.5218661373642777,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2022-11-12,West Ham,Leicester,A,0.3952413290001032,0.2427046428464901,4.03,A,1,0.15253668615361313,0.15253668615361313,0.24813895781637715,0.14710237118372607,0.5928225558704161,True,3.0300000000000002,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-01-03,Man United,Bournemouth,H,0.1438678671061906,0.08463419527297769,11.5,A,0,0.0592336718332129,0.0592336718332129,0.08695652173913043,0.05691134536706016,0.6544804717211918,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-02-11,Crystal Palace,Brighton,D,0.3313974840986782,0.1892156389970754,5.15,H,0,0.14218184510160278,0.14218184510160278,0.1941747572815534,0.1372227268171248,0.7066970431081929,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-02-11,Fulham,Nott'm Forest,H,0.3648952794455239,0.22583134947127767,4.33,A,0,0.13906392997424624,0.13906392997424624,0.23094688221709006,0.13394839722843385,0.5799965599991186,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-02-25,Leicester,Arsenal,A,0.2752337507022393,0.16235738401194136,6.02,H,0,0.11287636669029796,0.11287636669029796,0.16611295681063123,0.10912079389160809,0.6569071792274805,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-02-25,West Ham,Nott'm Forest,H,0.3099073488065846,0.17442305240341704,5.6,A,0,0.13548429640316756,0.13548429640316756,0.17857142857142858,0.13133592023515603,0.7354811533168737,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-02-26,Tottenham,Chelsea,H,0.5021680468006806,0.32156788199064745,3.04,H,1,0.18060016481003316,0.18060016481003316,0.32894736842105265,0.17322067837962796,0.5265908622740691,True,2.04,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
2022-23,2023-03-05,Nott'm Forest,Everton,D,0.4987006113681884,0.3159144893111639,3.1,H,0,0.1827861220570245,0.1827861220570245,0.3225806451612903,0.17611996620689807,0.5459718952413841,True,-1.0,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035
