Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,ModelPredictedOutcome,ModelProbability_H,ModelProbability_D,ModelProbability_A,MarketRecordedOutcome,MarketOdds_H,MarketOdds_D,MarketOdds_A,RawImpliedProbability_H,RawImpliedProbability_D,RawImpliedProbability_A,RawImpliedProbabilityTotal,MarketOverround,MarketProbability_H,MarketProbability_D,MarketProbability_A,MarketPredictedOutcome,ModelObservedOutcomeProbability,MarketObservedOutcomeProbability,ModelFixtureLogLoss,MarketFixtureLogLoss,ModelMinusMarketFixtureLoss
2020-21,2020-10-04,Arsenal,Sheffield United,1,2020-21,Independent Poisson,H,H,0.5686069136473388,0.2511106862542373,0.180282400098424,H,1.5,4.46,7.41,0.6666666666666666,0.2242152466367713,0.1349527665317139,1.0258346798351519,0.025834679835151864,0.6498772948227853,0.21856859691349287,0.13155410826372174,H,0.5686069136473388,0.6498772948227853,0.5645659207689179,0.4309717111088267,0.13359420966009117
2020-21,2020-10-04,Aston Villa,Liverpool,1,2020-21,Independent Poisson,H,A,0.0603263387454896,0.1239003345883074,0.815773326666203,H,6.76,5.1,1.47,0.14792899408284024,0.19607843137254904,0.6802721088435374,1.0242795342989268,0.02427953429892682,0.1444224834425604,0.19143058589641343,0.664146930661026,A,0.0603263387454896,0.1444224834425604,2.8079864755003006,1.9350123621329829,0.8729741133673177
2020-21,2020-10-04,Leicester,West Ham,1,2020-21,Independent Poisson,A,H,0.5836100556874735,0.2262261638084748,0.1901637805040515,A,1.87,3.88,4.38,0.53475935828877,0.2577319587628866,0.22831050228310504,1.0208018193347617,0.020801819334761662,0.5238620740676806,0.2524799171408667,0.2236580087914527,H,0.1901637805040515,0.2236580087914527,1.6598695754796697,1.497637140258832,0.16223243522083775
2020-21,2020-10-04,Man United,Tottenham,1,2020-21,Independent Poisson,A,H,0.4953590353388371,0.258155093804887,0.2464858708562757,A,2.12,3.7,3.6,0.4716981132075471,0.27027027027027023,0.2777777777777778,1.0197461612555951,0.01974616125559514,0.4625642450340325,0.2650368106681483,0.2723989442978192,H,0.2464858708562757,0.2723989442978192,1.4004506061836692,1.3004875802729565,0.09996302591071271
2020-21,2020-10-04,Southampton,West Brom,1,2020-21,Independent Poisson,H,H,0.4591605755662868,0.2581363204054128,0.2827031040283003,H,1.88,3.88,4.34,0.5319148936170213,0.2577319587628866,0.2304147465437788,1.0200615989236868,0.020061598923686752,0.5214536986572857,0.25266313233909726,0.22588316900361688,H,0.4591605755662868,0.5214536986572857,0.7783552922655317,0.6511347934162222,0.12722049884930953
2020-21,2020-10-04,Wolves,Fulham,1,2020-21,Independent Poisson,H,H,0.5618809922641879,0.2489891111934268,0.1891298965423852,H,1.82,3.64,5.08,0.5494505494505494,0.2747252747252747,0.19685039370078738,1.0210262178766114,0.02102621787661141,0.538135593220339,0.2690677966101695,0.19279661016949154,H,0.5618809922641879,0.538135593220339,0.5764652090492711,0.6196447185670187,-0.04317950951774763
2020-21,2020-10-17,Chelsea,Southampton,1,2020-21,Independent Poisson,D,H,0.5674195956531172,0.2286795044270143,0.2039008999198685,D,1.62,4.53,5.39,0.6172839506172839,0.22075055187637968,0.1855287569573284,1.023563259450992,0.023563259450992025,0.6030735715820594,0.21566869447305437,0.18125773394488617,H,0.2286795044270143,0.21566869447305437,1.4754337996911535,1.5340118706909789,-0.05857807099982537
2020-21,2020-10-17,Everton,Liverpool,1,2020-21,Independent Poisson,D,A,0.3056709387925464,0.2382365039836458,0.4560925572238076,D,4.22,4.24,1.83,0.23696682464454977,0.23584905660377356,0.5464480874316939,1.0192639686800171,0.01926396868001712,0.23248817963361365,0.23139153727685127,0.5361202830895352,A,0.2382365039836458,0.23139153727685127,1.4344913845007923,1.463644036728616,-0.029152652227823816
2020-21,2020-10-17,Man City,Arsenal,1,2020-21,Independent Poisson,H,H,0.5383110687190911,0.2347407884032568,0.2269481428776518,H,1.55,4.81,5.76,0.6451612903225806,0.2079002079002079,0.1736111111111111,1.0266726093338996,0.02667260933389959,0.6284002168336392,0.20249903037258646,0.16910075279377443,H,0.5383110687190911,0.6284002168336392,0.6193186912653218,0.4645780275440163,0.15474066372130552
2020-21,2020-10-17,Newcastle,Man United,1,2020-21,Independent Poisson,A,A,0.3051101246103576,0.2541427787798831,0.4407470966097593,A,4.77,4.21,1.74,0.20964360587002098,0.23752969121140144,0.5747126436781609,1.0218859407595833,0.021885940759583278,0.20515362576980922,0.23244246910261043,0.5624039051275803,A,0.4407470966097593,0.5624039051275803,0.8192840451115394,0.5755349948263249,0.24374905028521454
