BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
384,182,-2.1199999999999974,-0.011648351648351634
385,175,33.790000000000006,0.19308571428571433
386,178,39.8,0.2235955056179775
387,186,66.42999999999999,0.35715053763440857
388,177,10.770000000000001,0.06084745762711865
389,187,-17.199999999999996,-0.09197860962566842
390,170,34.81999999999999,0.20482352941176465
391,180,-24.25,-0.13472222222222222
392,183,63.80999999999999,0.34868852459016386
393,176,-13.209999999999994,-0.07505681818181814
394,169,17.92,0.10603550295857989
395,188,-13.100000000000001,-0.06968085106382979
396,177,-17.769999999999996,-0.10039548022598868
397,180,51.970000000000006,0.28872222222222227
398,183,-19.830000000000002,-0.10836065573770493
399,177,1.4199999999999973,0.008022598870056482
400,185,14.830000000000004,0.08016216216216218
401,191,20.620000000000005,0.10795811518324609
402,182,20.599999999999998,0.11318681318681317
403,187,68.95,0.36871657754010695
404,177,25.769999999999996,0.14559322033898303
405,182,-11.829999999999995,-0.06499999999999997
406,171,-1.8699999999999983,-0.010935672514619873
407,188,18.87,0.10037234042553192
408,172,-30.740000000000002,-0.17872093023255814
409,183,59.14999999999999,0.32322404371584695
410,172,-49.81999999999999,-0.28965116279069764
411,183,41.27,0.22551912568306012
412,194,37.08,0.1911340206185567
413,187,45.98,0.24588235294117644
414,166,-10.769999999999996,-0.06487951807228913
