StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
1,Flat stake,2024-05-12,103.23,1,0,1.0,0.00968710646130001,-1.0,102.23,1.0,False,112.00999999999999,9.779999999999987,0.08731363271136494
1,Flat stake,2024-05-13,102.23,1,0,1.0,0.009781864423359092,-1.0,101.23,1.0,False,112.00999999999999,10.779999999999987,0.0962414070172305
1,Flat stake,2024-05-19,101.23,2,0,2.0,0.019756989034871084,-2.0,99.23,1.0,False,112.00999999999999,12.779999999999987,0.11409695562896159
1,Flat stake,2024-08-17,99.23,3,1,3.0,0.030232792502267458,-0.14000000000000012,99.09,1.0,False,112.00999999999999,12.919999999999987,0.11534684403178277
1,Flat stake,2024-09-21,99.09,1,0,1.0,0.010091835704914724,-1.0,98.09,1.0,False,112.00999999999999,13.919999999999987,0.12427461833764833
1,Flat stake,2024-10-19,98.09,1,1,1.0,0.010194719135487817,2.41,100.5,1.0,False,112.00999999999999,11.509999999999991,0.10275868226051238
1,Flat stake,2024-11-10,100.5,2,1,2.0,0.01990049751243781,8.66,109.16,1.0,False,112.00999999999999,2.8499999999999943,0.025444156771716762
1,Flat stake,2024-11-23,109.16,1,0,1.0,0.009160864785635764,-1.0,108.16,1.0,False,112.00999999999999,3.8499999999999943,0.03437193107758231
1,Flat stake,2024-11-24,108.16,1,0,1.0,0.009245562130177515,-1.0,107.16,1.0,False,112.00999999999999,4.849999999999994,0.04329970538344786
1,Flat stake,2024-11-30,107.16,2,0,2.0,0.018663680477790223,-2.0,105.16,1.0,False,112.00999999999999,6.849999999999994,0.06115525399517895
1,Flat stake,2024-12-03,105.16,1,0,1.0,0.009509319132750096,-1.0,104.16,1.0,False,112.00999999999999,7.849999999999994,0.0700830283010445
1,Flat stake,2024-12-05,104.16,1,0,1.0,0.009600614439324117,-1.0,103.16,1.0,False,112.00999999999999,8.849999999999994,0.07901080260691005
1,Flat stake,2024-12-14,103.16,1,0,1.0,0.009693679720822024,-1.0,102.16,1.0,False,112.00999999999999,9.849999999999994,0.0879385769127756
1,Flat stake,2024-12-29,102.16,1,0,1.0,0.009788566953797965,-1.0,101.16,1.0,False,112.00999999999999,10.849999999999994,0.09686635121864115
1,Flat stake,2024-12-30,101.16,1,1,1.0,0.009885330170027679,6.55,107.71,1.0,False,112.00999999999999,4.299999999999997,0.03838942951522183
1,Flat stake,2025-01-04,107.71,1,0,1.0,0.009284189026088572,-1.0,106.71,1.0,False,112.00999999999999,5.299999999999997,0.04731720382108738
1,Flat stake,2025-01-18,106.71,1,0,1.0,0.0093711929528629,-1.0,105.71,1.0,False,112.00999999999999,6.299999999999997,0.05624497812695293
1,Flat stake,2025-01-19,105.71,1,0,1.0,0.009459842966606754,-1.0,104.71,1.0,False,112.00999999999999,7.299999999999997,0.06517275243281848
1,Flat stake,2025-02-15,104.71,1,1,1.0,0.00955018622863146,1.0899999999999999,105.8,1.0,False,112.00999999999999,6.209999999999994,0.055441478439425
