Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-12-13,Crystal Palace,Tottenham,2020-21,D,1.4544030179462537,1.508629527068228,Tuned Logistic Regression,-0.05422650912197424
2020-21,2020-12-13,Fulham,Liverpool,2020-21,D,2.4701524866075455,3.05943943155454,Tuned Logistic Regression,-0.5892869449469944
2020-21,2020-12-13,Leicester,Brighton,2020-21,H,0.559310706522299,0.5276569846669105,Tuned Logistic Regression,0.031653721855388506
2020-21,2020-12-13,Southampton,Sheffield United,2020-21,H,0.4422137101239901,0.4441075725674949,Tuned Logistic Regression,-0.0018938624435048124
2020-21,2020-12-15,Man City,West Brom,2020-21,D,1.828676067812906,2.1414887742604103,Tuned Logistic Regression,-0.31281270644750436
2020-21,2020-12-15,Wolves,Chelsea,2020-21,H,1.114291876967421,1.1662690161538982,Tuned Logistic Regression,-0.05197713918647717
2020-21,2020-12-16,Arsenal,Southampton,2020-21,D,1.5361928164725411,1.3349632108800755,Tuned Logistic Regression,0.2012296055924656
2020-21,2020-12-16,Fulham,Brighton,2020-21,D,1.2716046849800888,1.3290308698634217,Tuned Logistic Regression,-0.05742618488333284
2020-21,2020-12-16,Leeds,Newcastle,2020-21,H,0.7027620248628912,0.8097229403544511,Tuned Logistic Regression,-0.10696091549155995
2020-21,2020-12-16,Leicester,Everton,2020-21,A,2.0021601821256105,2.030818012360345,Tuned Logistic Regression,-0.02865783023473467
2020-21,2020-12-16,Liverpool,Tottenham,2020-21,H,0.3313446806249896,0.4011504784657079,Tuned Logistic Regression,-0.06980579784071828
2020-21,2020-12-16,West Ham,Crystal Palace,2020-21,D,1.2406984951606068,1.3934438409788967,Tuned Logistic Regression,-0.1527453458182899
2020-21,2020-12-17,Aston Villa,Burnley,2020-21,D,1.2474155885449458,1.2547388312468615,Tuned Logistic Regression,-0.007323242701915644
2020-21,2020-12-17,Sheffield United,Man United,2020-21,A,0.5480526490114614,0.757955386005391,Tuned Logistic Regression,-0.20990273699392958
2020-21,2020-12-19,Crystal Palace,Liverpool,2020-21,A,0.30553032098231225,0.18586557309815344,Tuned Logistic Regression,0.11966474788415882
2020-21,2020-12-19,Everton,Arsenal,2020-21,H,0.6388817181894898,0.6442560998267948,Tuned Logistic Regression,-0.00537438163730497
2020-21,2020-12-19,Newcastle,Fulham,2020-21,D,0.9915718063067306,1.2961100900275757,Tuned Logistic Regression,-0.3045382837208451
2020-21,2020-12-19,Southampton,Man City,2020-21,A,1.002116905913453,0.9679402044028945,Tuned Logistic Regression,0.034176701510558405
2020-21,2020-12-20,Brighton,Sheffield United,2020-21,D,1.8116099677526758,1.3062158779179829,Tuned Logistic Regression,0.5053940898346929
2020-21,2020-12-20,Man United,Leeds,2020-21,H,0.6584433645197763,0.3948165449559044,Tuned Logistic Regression,0.26362681956387185
2020-21,2020-12-20,Tottenham,Leicester,2020-21,A,1.756845588289944,1.5295468649210888,Tuned Logistic Regression,0.22729872336885526
2020-21,2020-12-20,West Brom,Aston Villa,2020-21,A,0.7152362728865367,0.7274377803967973,Tuned Logistic Regression,-0.012201507510260612
2020-21,2020-12-21,Burnley,Wolves,2020-21,H,0.9978984756652938,0.976366942215255,Tuned Logistic Regression,0.021531533450038776
2020-21,2020-12-21,Chelsea,West Ham,2020-21,H,0.49162939753620916,0.5043303108652402,Tuned Logistic Regression,-0.012700913329031005
2020-21,2020-12-26,Arsenal,Chelsea,2020-21,H,0.9318366959196889,0.9903609657719294,Tuned Logistic Regression,-0.058524269852240574
