Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-10-31,Aston Villa,West Ham,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-10-31,Norwich,Leeds,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-11-01,Wolves,Everton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.31512733967474676,0.21816508131328627,0.46670757901196686
2021-22,2021-11-05,Southampton,Aston Villa,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-11-06,Brentford,Norwich,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-06,Brighton,Newcastle,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-11-06,Chelsea,Burnley,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6475903614457832,0.15813253012048195,0.19427710843373497
2021-22,2021-11-06,Crystal Palace,Wolves,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-11-06,Man United,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-11-07,Arsenal,Watford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-07,Everton,Tottenham,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.37356321839080464,0.21551724137931036,0.4109195402298851
2021-22,2021-11-07,Leeds,Leicester,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-11-07,West Ham,Liverpool,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-11-20,Aston Villa,Brighton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-11-20,Burnley,Crystal Palace,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-11-20,Leicester,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-11-20,Liverpool,Arsenal,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-20,Newcastle,Brentford,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.37356321839080464,0.21551724137931036,0.4109195402298851
2021-22,2021-11-20,Norwich,Southampton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.1377027474346243,0.23833167825223436,0.6239655743131413
2021-22,2021-11-20,Watford,Man United,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-11-20,Wolves,West Ham,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.1751662971175166,0.2627494456762749,0.5620842572062084
2021-22,2021-11-21,Man City,Everton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-11-21,Tottenham,Leeds,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-11-27,Arsenal,Newcastle,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-11-27,Brighton,Leeds,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.31512733967474676,0.21816508131328627,0.46670757901196686
