Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Tuned Random Forest,Original,A,7,43,0.7341653796280352,0.7441860465116279,0.01002066688359271,0.01002066688359271,0.7,0.8
Tuned Random Forest,Original,A,8,1,0.8032551373299919,0.0,-0.8032551373299919,0.8032551373299919,0.8,0.9
Tuned Random Forest,Original,D,0,27,0.09111053400595669,0.0,-0.09111053400595669,0.09111053400595669,0.0,0.1
Tuned Random Forest,Original,D,1,450,0.1609413570921496,0.20444444444444446,0.043503087352294856,0.043503087352294856,0.1,0.2
Tuned Random Forest,Original,D,2,997,0.2506864948647129,0.24674022066198595,-0.003946274202726946,0.003946274202726946,0.2,0.3
Tuned Random Forest,Original,D,3,46,0.31716516184597626,0.2608695652173913,-0.056295596628584965,0.056295596628584965,0.3,0.4
Tuned Random Forest,Original,H,0,1,0.0983358362117113,1.0,0.9016641637882887,0.9016641637882887,0.0,0.1
Tuned Random Forest,Original,H,1,151,0.16137602234759746,0.11920529801324503,-0.04217072433435243,0.04217072433435243,0.1,0.2
Tuned Random Forest,Original,H,2,268,0.24871770575623603,0.22761194029850745,-0.021105765457728576,0.021105765457728576,0.2,0.3
Tuned Random Forest,Original,H,3,252,0.3518010559055226,0.3968253968253968,0.04502434091987423,0.04502434091987423,0.3,0.4
Tuned Random Forest,Original,H,4,250,0.4529962380245619,0.452,-0.0009962380245618907,0.0009962380245618907,0.4,0.5
Tuned Random Forest,Original,H,5,197,0.5401215800014377,0.5634517766497462,0.023330196648308488,0.023330196648308488,0.5,0.6
Tuned Random Forest,Original,H,6,186,0.6535439177627144,0.6344086021505376,-0.01913531561217674,0.01913531561217674,0.6,0.7
Tuned Random Forest,Original,H,7,163,0.7457796979147062,0.6809815950920245,-0.06479810282268172,0.06479810282268172,0.7,0.8
Tuned Random Forest,Original,H,8,52,0.8199849327282178,0.8461538461538461,0.026168913425628326,0.026168913425628326,0.8,0.9
Tuned Random Forest,Sigmoid,A,0,4,0.09549903119088683,0.0,-0.09549903119088683,0.09549903119088683,0.0,0.1
Tuned Random Forest,Sigmoid,A,1,247,0.16165151164220504,0.1214574898785425,-0.04019402176366253,0.04019402176366253,0.1,0.2
Tuned Random Forest,Sigmoid,A,2,307,0.2535571919308562,0.18241042345276873,-0.07114676847808746,0.07114676847808746,0.2,0.3
Tuned Random Forest,Sigmoid,A,3,317,0.34922243122469054,0.28391167192429023,-0.06531075930040031,0.06531075930040031,0.3,0.4
Tuned Random Forest,Sigmoid,A,4,234,0.4529727469748702,0.3717948717948718,-0.08117787517999842,0.08117787517999842,0.4,0.5
Tuned Random Forest,Sigmoid,A,5,256,0.5494241942326964,0.515625,-0.033799194232696395,0.033799194232696395,0.5,0.6
Tuned Random Forest,Sigmoid,A,6,140,0.6419873528455603,0.6357142857142857,-0.006273067131274623,0.006273067131274623,0.6,0.7
Tuned Random Forest,Sigmoid,A,7,15,0.7177727583024419,0.6,-0.11777275830244194,0.11777275830244194,0.7,0.8
Tuned Random Forest,Sigmoid,D,1,279,0.17997678328422395,0.1863799283154122,0.006403145031188245,0.006403145031188245,0.1,0.2
Tuned Random Forest,Sigmoid,D,2,1241,0.2326807469555177,0.2401289282836422,0.007448181328124526,0.007448181328124526,0.2,0.3
Tuned Random Forest,Sigmoid,H,0,8,0.08926828711099487,0.25,0.16073171288900512,0.16073171288900512,0.0,0.1
Tuned Random Forest,Sigmoid,H,1,220,0.1594365990436609,0.15454545454545454,-0.004891144498206351,0.004891144498206351,0.1,0.2
Tuned Random Forest,Sigmoid,H,2,297,0.25301761614183343,0.2828282828282828,0.029810666686449383,0.029810666686449383,0.2,0.3
Tuned Random Forest,Sigmoid,H,3,261,0.35508211272055135,0.4482758620689655,0.09319374934841418,0.09319374934841418,0.3,0.4
Tuned Random Forest,Sigmoid,H,4,281,0.4492746932817877,0.47330960854092524,0.024034915259137535,0.024034915259137535,0.4,0.5
Tuned Random Forest,Sigmoid,H,5,212,0.5497914564982858,0.660377358490566,0.11058590199228024,0.11058590199228024,0.5,0.6
Tuned Random Forest,Sigmoid,H,6,194,0.6408508347021498,0.6597938144329897,0.018942979730839915,0.018942979730839915,0.6,0.7
Tuned Random Forest,Sigmoid,H,7,47,0.7264094480679428,0.8297872340425532,0.10337778597461034,0.10337778597461034,0.7,0.8
